,tweet_id,rating_numerator,rating_denominator,name,status,favorite_count,retweet_count,retweeted
885,696488710901260288,12.0,10,,,2779,1163,False
886,696405997980676096,7.0,10,Berb,,3516,1280,False
887,695816827381944320,11.0,10,,,3275,1315,False
888,695794761660297217,13.0,10,Wyatt,,3478,877,False
889,695767669421768709,13.0,10,,,2047,850,False
890,695629776980148225,8.0,10,Calvin,,4992,2364,False
891,695446424020918272,12.0,10,,,4766,2018,False
892,695409464418041856,10.0,10,Bob,,9420,4000,False
893,695314793360662529,10.0,10,Colin,,3991,1664,False
894,695095422348574720,12.0,10,,pupper,2873,680,False
895,695074328191332352,11.0,10,Lorenzo,pupper,3097,1234,False
896,695051054296211456,6.0,10,,,2910,881,False
897,694352839993344000,7.5,10,,,2231,696,False
898,694329668942569472,9.0,10,Grady,pupper,2189,567,False
899,694206574471057408,10.0,10,,,4571,2286,False
900,694001791655137281,11.0,10,Chester,floof,3691,1173,False
901,693942351086120961,10.0,10,Kobe,,1883,413,False
902,693642232151285760,9.0,10,Freddery,,2776,468,False
903,693629975228977152,12.0,10,,pupper,2670,889,False
904,693622659251335168,10.0,10,,,1680,421,False
905,693280720173801472,10.0,10,,,3654,1398,False
906,693262851218264065,11.0,10,,pupper,2440,567,False
907,693231807727280129,9.0,10,Bodie,,3115,835,False
908,693155686491000832,12.0,10,Dunkin,,8625,3606,False
909,693109034023534592,11.0,10,,,1882,692,False
910,692919143163629568,9.0,10,,,2914,835,False
911,692905862751522816,10.0,10,Wally,pupper,2667,994,False
912,692901601640583168,10.0,10,,,1964,680,False
913,692894228850999298,10.0,10,Tupawc,,2507,906,False
914,692828166163931137,12.0,10,,pupper,3141,993,False
915,692752401762250755,13.0,10,,pupper,7469,4102,False
916,692568918515392513,12.0,10,Chester,,4720,1729,False
917,692535307825213440,10.0,10,Amber,,3489,1522,False
918,692530551048294401,10.0,10,Cody,,2010,472,False
919,692187005137076224,12.0,10,,floof,2755,924,False
920,692158366030913536,10.0,10,Edgar,,2358,896,False
921,692142790915014657,13.0,10,,,1788,437,False
922,692017291282812928,9.0,10,,,3138,1077,False
923,691756958957883396,10.0,10,,,3163,1155,False
924,691675652215414786,10.0,10,,,2107,573,False
925,691483041324204033,7.5,10,,,2594,653,False
926,691459709405118465,12.0,10,Leo,,4437,1290,False
927,691444869282295808,12.0,10,Bailey,,2883,946,False
928,691416866452082688,13.0,10,,,21182,8638,False
929,691321916024623104,11.0,10,Molly,,2816,743,False
930,691096613310316544,11.0,10,,,3243,1016,False
931,690959652130045952,11.0,10,,pupper,3899,1415,False
932,690735892932222976,13.0,10,Peaches,floof,4113,1439,False
933,690728923253055490,8.0,10,Vinscent,,2372,596,False
934,690597161306841088,11.0,10,Lolo,,2159,679,False
935,690400367696297985,8.0,10,Eriq,,2035,509,False
936,690374419777196032,11.0,10,Phred,,3548,969,False
937,690360449368465409,9.0,10,,,2913,1003,False
938,690015576308211712,12.0,10,,pupper,2729,828,False
939,690005060500217858,10.0,10,,,3995,1896,False
940,689999384604450816,10.0,10,Covach,,1558,422,False
941,689877686181715968,9.0,10,Durg,,3302,1336,False
942,689835978131935233,10.5,10,,,2355,845,False
943,689661964914655233,12.0,10,Luca,floof,3486,1042,False
944,689623661272240129,10.0,10,Lucy,pupper,2452,745,False
945,689557536375177216,12.0,10,,,2249,516,False
946,689517482558820352,12.0,10,Carl,,3719,1605,False
947,689283819090870273,9.0,10,Chipson,,3609,1246,False
948,689280876073582592,10.0,10,Herald,,2188,814,False
949,689275259254616065,10.0,10,Lucky,,1265,284,False
950,689154315265683456,9.0,10,,,3335,1124,False
951,689143371370250240,10.0,10,Trip,pupper,2225,578,False
952,688916208532455424,11.0,10,,pupper,2996,979,False
953,688898160958271489,10.0,10,,,2299,887,False
954,688828561667567616,9.0,10,Brad,,1503,420,False
955,688804835492233216,12.0,10,,,1040,224,False
956,688789766343622656,8.0,10,Pubert,,2420,748,False
957,688547210804498433,9.0,10,,,2847,789,False
958,688519176466644993,12.0,10,,pupper,2512,821,False
959,688385280030670848,12.0,10,Louis,,10145,5004,False
960,688116655151435777,10.0,10,,,3083,885,False
961,688064179421470721,11.0,10,Kilo,,1873,407,False
962,687826841265172480,12.0,10,Louis,,2979,1280,False
963,687818504314159109,12.0,10,,pupper,2751,1077,False
964,687807801670897665,11.0,10,,,2616,799,False
965,687704180304273409,9.0,10,Blakely,pupper,2651,950,False
966,687664829264453632,11.0,10,Opal,,2113,575,False
967,687494652870668288,7.0,10,Marq,,2098,653,False
968,687480748861947905,12.0,10,,,1753,281,False
969,687460506001633280,10.0,10,Kramer,,2231,612,False
970,687317306314240000,11.0,10,Tyrone,,21968,10356,False
971,687127927494963200,9.0,10,Gordon,,5987,2576,False
972,687109925361856513,11.0,10,Baxter,,6339,2789,False
973,687096057537363968,11.0,10,,pupper,2445,690,False
974,686730991906516992,12.0,10,,,4529,1345,False
975,686683045143953408,11.0,10,Mona,pupper,3056,905,False
976,686618349602762752,11.0,10,Olivia,pupper,4023,1533,False
977,686606069955735556,10.0,10,Horace,,2064,606,False
978,686386521809772549,11.0,10,Crimson,,3540,993,False
979,686377065986265092,10.0,10,Birf,pupper,2427,636,False
980,686358356425093120,10.0,10,,,2390,772,False
981,686050296934563840,11.0,10,,floof,2411,832,False
982,686034024800862208,12.0,10,,,3406,1321,False
983,686007916130873345,11.0,10,,pupper,2701,471,False
984,685973236358713344,11.0,10,Lorelei,,2309,608,False
985,685943807276412928,8.0,10,,pupper,1792,693,False
986,685906723014619143,9.0,10,Olive,,8242,3281,False
987,685663452032069632,12.0,10,Brooks,,3548,1650,False
988,685641971164143616,7.0,10,Otis,pupper,3199,881,False
989,685325112850124800,10.0,10,,,10413,4511,False
990,685321586178670592,10.0,10,Rocky,,2900,734,False
991,685315239903100929,11.0,10,,,3660,1226,False
992,685307451701334016,11.0,10,Petrick,floof,2255,494,False
993,685268753634967552,10.0,10,Hubertson,pupper,3403,1362,False
994,685169283572338688,11.0,10,Gerbald,pupper,4475,1613,False
